|Interface|Remote_Interface
0|r1[Ethernet0/0]|r14[Ethernet0/0]
1|r14[Ethernet0/0]|r1[Ethernet0/0]
2|r1[Ethernet0/1]|r2[Ethernet0/1]
3|r1[Ethernet0/1]|r3[Ethernet0/1]
4|r2[Ethernet0/1]|r1[Ethernet0/1]
5|r2[Ethernet0/1]|r3[Ethernet0/1]
6|r3[Ethernet0/1]|r2[Ethernet0/1]
7|r3[Ethernet0/1]|r1[Ethernet0/1]
8|r1[Ethernet0/2]|r13[Ethernet0/2]
9|r13[Ethernet0/2]|r1[Ethernet0/2]
10|r1[Ethernet0/3]|r12[Ethernet0/3]
11|r12[Ethernet0/3]|r1[Ethernet0/3]
12|r10[Ethernet0/1]|r9[Ethernet0/1]
13|r9[Ethernet0/1]|r10[Ethernet0/1]
14|r10[Ethernet0/3]|r11[Ethernet0/3]
15|r11[Ethernet0/3]|r10[Ethernet0/3]
16|r11[Ethernet0/2]|r9[Ethernet0/2]
17|r9[Ethernet0/2]|r11[Ethernet0/2]
18|r12[Ethernet0/1]|r14[Ethernet0/1]
19|r14[Ethernet0/1]|r12[Ethernet0/1]
20|r13[Ethernet0/3]|r14[Ethernet0/3]
21|r14[Ethernet0/3]|r13[Ethernet0/3]
22|r14[Ethernet0/2]|r2[Ethernet0/2]
23|r2[Ethernet0/2]|r14[Ethernet0/2]
24|r19[Serial1/0]|r4[Serial1/0]
25|r4[Serial1/0]|r19[Serial1/0]
26|r2[Ethernet0/3]|r4[Ethernet0/3]
27|r4[Ethernet0/3]|r2[Ethernet0/3]
28|r3[Ethernet0/3]|r5[Ethernet0/3]
29|r5[Ethernet0/3]|r3[Ethernet0/3]
30|r4[Ethernet0/1]|r5[Ethernet0/1]
31|r5[Ethernet0/1]|r4[Ethernet0/1]
32|r4[Serial1/1]|r6[Serial1/1]
33|r6[Serial1/1]|r4[Serial1/1]
34|r5[Ethernet0/2]|r7[Ethernet0/2]
35|r7[Ethernet0/2]|r5[Ethernet0/2]
36|r6[Ethernet0/0]|r7[Ethernet0/0]
37|r7[Ethernet0/0]|r6[Ethernet0/0]
