|Node|VRF|Process_ID|Areas|Reference_Bandwidth|Router_ID|Export_Policy_Sources|Area_Border_Router
0|r13|default|1|['3']|100000000.0|10.0.0.13|[]|False
1|r6|default|1|['4']|100000000.0|10.0.0.6|['RM_EIGRP_TO_OSPF']|False
2|r15|default|1|['2']|100000000.0|10.0.0.15|[]|False
3|r4|default|1|['0', '1', '4']|100000000.0|10.0.0.4|[]|True
4|r7|default|1|['4']|100000000.0|10.0.0.7|['RM_EIGRP_TO_OSPF']|False
5|r14|default|1|['0', '3']|100000000.0|10.0.0.14|[]|True
6|r16|default|1|['2']|100000000.0|10.0.0.16|[]|False
7|r11|default|1|['0', '1']|100000000.0|10.0.0.11|[]|True
8|r2|default|1|['0', '1']|100000000.0|10.0.0.2|[]|True
9|r10|default|1|['0', '1']|100000000.0|10.0.0.10|[]|True
10|r5|default|1|['0', '4']|100000000.0|10.0.0.5|[]|True
11|r12|default|1|['3']|100000000.0|10.0.0.12|[]|False
12|r19|default|1|['1']|100000000.0|10.0.0.19|[]|False
13|r3|default|1|['0', '2']|100000000.0|10.0.0.3|[]|True
14|r9|default|1|['0']|100000000.0|10.0.0.9|[]|False
15|r1|default|1|['0', '3']|100000000.0|10.0.0.1|[]|True
